gvkey,company_name,fic,gsector,market_cap_usd,in_portfolio,base_ic,base_nd_eb,base_fcf,base_div_cov,base_runway,base_z,stress_ic,stress_nd_eb,stress_fcf,stress_div_cov,stress_runway,stress_z,severe_ic,severe_nd_eb,severe_fcf,severe_div_cov,severe_runway,severe_z,rate_base,rate_stress,rate_severe,overall,_ov_rk
209347,UNITED TRACTORS,ID,10,6839762292.1264,False,19.69902897721871,-0.2024346124828569,16682444.641158987,inf,inf,4.619024015370381,5.34474850045483,-0.36149037943367307,5234921.54404903,inf,inf,3.989697236337869,0.04100066647271222,-0.6228757307164828,2904104.0628355606,inf,inf,3.6535795248091416,pass,pass,fail,severe_vulnerable,4
209382,VALE SA,BR,15,11835553013.711359,False,5.145880323894147,0.7657535604751209,32034.123509196448,1.3700921050937278,inf,2.640048967329601,2.0784140739687436,1.3674170722770016,442.4691651500102,0.018924304569950395,1.8148067240973431,2.038008717037314,0.7060882897543004,2.3561648014619103,-8239.475646014873,-0.7048009619789464,2.088763214736993,1.716464492449388,pass,marginal,fail,marginal,3
210000,PETRONAS GAS,MY,55,7682782831.732201,False,26.557672218116846,-0.1174433309014927,708.7972489619597,0.4975108560420357,2.7131705645787214,5.6265008432167045,6.512552212527938,-0.20972023375266555,-426.4910155813024,-0.29935769441379223,1.049240528815417,5.094622415253668,-0.43677047344426845,-0.361364095081516,-422.0512754498176,-0.5924828056265238,1.7122178645699546,4.8105509821370465,marginal,marginal,fail,marginal,3
210201,DELTA ELECTRONICS INC,TW,45,57725854786.19925,False,29.57681667025478,-0.8278631598826187,29242.57576686346,0.9704984104796718,173.94428164206082,4.428543169660781,6.499832790110848,-1.478327071218962,2815.7744494435383,0.09344951858005683,5.660614495923818,3.9968632775211796,0.47279855757029227,-2.547271261177288,2486.881890640838,0.16506855901883405,12.292345322107,3.766306971492075,marginal,marginal,fail,marginal,3
210701,KIMBERLY-CLARK DE MEXICO SA,MX,30,1811483922.993815,True,5.463732465862138,0.865435990425875,7238.853414104575,inf,inf,3.453745894755007,2.193097962841461,1.5454214114747766,3011.394851898562,inf,inf,2.5778765891175475,0.8030928502099741,2.6628799705411543,1125.5729911119815,inf,inf,2.110082755424813,pass,marginal,fail,marginal,3
211175,MR PRICE GROUP LTD,ZA,25,1264298896.53225,True,7.424804396385939,0.49004652526315545,6281.710513669221,2.658362468755489,inf,4.9580826539043645,2.058977295736366,0.8750830808270634,3506.697887654763,1.484002491601677,inf,4.11993821402946,-0.09853170096431337,1.5078354623481707,1967.7070559233293,1.6654312788178836,inf,3.6722928881871812,pass,marginal,fail,marginal,3
211225,GUJARAT GAS LTD,IN,55,3073386552.0750003,False,57.94746855681387,-0.619478130897323,11465.774400581617,2.86186461675859,inf,5.09872732179233,23.376927942554833,-1.106210948030934,5193.906664325704,1.2964024222058965,inf,4.5393560966836,6.942202159528823,-1.9060865566071472,4444.835805189026,2.2188677142517106,inf,4.2406010105459835,pass,pass,pass,highly_resilient,1
211415,SOPRA STERIA GROUP SA,FR,45,3024703778.004,False,11.703134973752972,1.0145353703296551,447.2651624114074,inf,inf,1.1905385104480646,3.1152301278068664,1.8116703041600986,266.96299095038813,inf,inf,0.8447360192961362,0.562057283138637,3.121647293322016,182.66340371160993,inf,inf,0.6600460524309019,pass,fail,fail,fail,5
211447,KUEHNE & NAGEL INTERNATIONAL,CH,20,23206428387.01143,False,33.12187055033417,1.2291949459840747,1881.5701456375314,2.6389483108520775,inf,2.280210358642307,4.084345480945922,2.1949909749715624,1220.4942815570173,1.7117731859144703,inf,1.6443028762778056,-0.3617467042302181,3.782138295335615,891.3053964429303,2.5001553897417397,inf,1.3046704709240382,pass,pass,fail,severe_vulnerable,4
211453,ORION CORP,FI,35,8108913621.240001,False,63.11062608158756,0.25182677501005896,364.8803504017635,1.4410756334982762,inf,8.085759378790058,18.523343232223237,0.44969066966081955,189.83799622498756,0.7497551193719888,2.5393767623152863,7.241579394003556,6.376729942566164,0.774851615415566,120.31473888057315,0.9503533876822524,25.59957286463103,6.790710538492583,pass,marginal,marginal,marginal,3
